Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"January 1, 2026 - March 20, 2026"
Statement,Data,WhenGenerated,"2026-03-21, 07:18:22 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,0.0
Summary,Data,Change,488092.3059
Summary,Data,Ending Cash,488092.3059
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount
Transaction History,Data,2026-02-23,DUO116877,SI JUN26 80 P,Sell,SOM6 P8000,-1.0,8.198,USD,40990.0,-2.52,40987.48
Transaction History,Data,2026-02-23,DUO116877,SI JUN26 86 C,Sell,SOM6 C8600,-1.0,13.912,USD,69560.0,-2.52,69557.48
Transaction History,Data,2026-02-23,DUO116877,GLD 27FEB26 435 P,Sell,GLD   260227P00435000,-1.0,0.27,USD,27.0,-1.05204,25.94796
Transaction History,Data,2026-02-23,DUO116877,GLD 27FEB26 460 C,Sell,GLD   260227C00460000,-1.0,19.7,USD,1970.0,-1.05204,1968.94796
Transaction History,Data,2026-02-20,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,-1375.0,-,-1375.0
Transaction History,Data,2026-02-20,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,-864.70875,-,-864.70875
Transaction History,Data,2026-02-20,DUO116877,GC 25FEB26 5300 C,Sell,G4WG6 C5300,-1.0,13.0,USD,1300.0,-2.52,1297.48
Transaction History,Data,2026-02-19,DUO116877,CC JUN26 3300 C,Sell,COM6 C3300,-1.0,250.0,USD,2500.0,-2.97,2497.03
Transaction History,Data,2026-02-19,DUO116877,CC JUN26 3300 C,Sell,COM6 C3300,-2.0,240.0,USD,4800.0,-5.94,4794.06
Transaction History,Data,2026-02-19,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,3500.0,-,3500.0
Transaction History,Data,2026-02-19,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,3006.2375,-,3006.2375
Transaction History,Data,2026-02-18,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,125.0,-,125.0
Transaction History,Data,2026-02-17,DUO116877,SB JUN26 0.13 P,Buy,SOM6 P0.13,20.0,0.0036,USD,-8064.0,-59.4,-8123.4
